,id,step,e_x,e_y
0,0,1,900,900
0,1,1,900,900
0,1,2,903.8739550416021,909.2191362033352
0,1,3,911.7768031536167,915.3465330175156
0,1,4,915.5303444764079,924.6153478035657
0,1,5,923.4285607878468,930.7487138531114
0,1,6,927.0928263721465,940.0531836245555
0,1,7,934.94894296304,946.2403826766539
0,1,8,938.4653181590462,955.6017450497764
0,1,9,946.2209970616706,961.9143867122966
0,1,10,949.3223092887931,971.4213243091203
0,1,11,957.0253931983692,977.7980396298815
0,1,12,960.523719011041,987.1661619875578
0,1,13,968.3679758116556,993.368390236019
0,1,14,971.6442075219603,1002.8164750038644
0,1,15,979.5271611218084,1008.9694452250375
0,1,16,983.2958724996463,1018.2321022169893
0,1,17,991.2943512865166,1024.2341299656744
0,1,18,995.1336251629162,1033.4677628423917
0,1,19,1003.2869856967378,1039.257642979797
0,1,20,1007.2644624550468,1048.4325914067426
0,1,21,1015.4703815207577,1054.1477372742602
0,1,22,1019.7285283730685,1063.195841240515
0,1,23,1028.089815399265,1068.681174344854
0,1,24,1032.1785698189694,1077.8070763438539
0,1,25,1040.5226838415444,1083.318497320178
0,1,26,1044.8211446995251,1092.3475190973368
0,1,27,1053.0894181071117,1097.9720772895328
0,1,28,1056.9889814935152,1107.1804107650005
0,1,29,1065.2191241537448,1112.860617785195
0,1,30,1069.4384492184995,1121.9268902274907
0,1,31,1077.6977589736857,1127.564602739484
0,1,32,1081.6567993113958,1136.747521643862
0,1,33,1089.921344938852,1142.3775558863597
0,1,34,1094.1617446667958,1151.4339906234543
0,1,35,1102.5528783602763,1156.873556354111
0,1,36,1107.0705065410107,1165.7949371676755
0,1,37,1115.583810734655,1171.0412360255827
0,1,38,1120.154451222755,1179.9355738608879
0,1,39,1128.6266986758133,1185.247920149878
0,1,40,1132.9617326889427,1194.2594394504738
0,2,1,900,900
0,2,2,903.8739550416021,909.2191362033352
0,2,3,911.6610604068203,915.4929699619704
0,2,4,915.187898888876,924.8503953729203
0,2,5,923.0970764457884,930.9696200275014
0,2,6,926.7211368598312,940.2898231430653
0,2,7,934.5440953948743,946.5188936803924
0,2,8,938.052483492915,955.8832523318712
0,2,9,946.0145378070223,961.9335160533304
0,2,10,949.7597132913877,971.2057143143313
0,2,11,957.6959202043913,977.2898428331903
0,2,12,961.2337784140167,986.6431074658512
0,2,13,969.1033503237206,992.8131834749453
0,2,14,972.4038609548077,1002.2528142714374
0,2,15,980.1121349880508,1008.6232547137012
0,2,16,983.4078120589685,1018.0645741471399
0,2,17,991.2188671744162,1024.3085646967354
0,2,18,994.7953898206097,1033.64711307222
0,2,19,1002.6837121385274,1039.7931989005046
0,2,20,1006.3649620116917,1049.090962038557
0,2,21,1014.3991500367165,1055.045105367244
0,2,22,1018.2581864954242,1064.2704962863522
0,2,23,1026.4225183779947,1070.044895381604
0,2,24,1030.5445035275068,1079.1558359712028
0,2,25,1038.8475123999176,1084.7289898058523
0,2,26,1043.0815802525283,1093.7883865528486
0,2,27,1051.450290554004,1099.2623876388893
0,2,28,1055.590263387162,1108.365168804045
0,2,29,1063.868185820984,1113.9755164028684
0,2,30,1067.7272288782046,1123.2009045617763
0,2,31,1075.8253889563434,1129.0677438598002
0,2,32,1079.4321640280266,1138.3946497552345
0,2,33,1087.3922453066891,1144.4475090826174
0,2,34,1090.8784412165107,1153.8201521505223
0,2,35,1098.7012393553366,1160.0494241207593
0,2,36,1101.856745806673,1169.5385114865483
0,2,37,1109.5148251639455,1175.9692051161435
0,2,38,1112.4095847704782,1185.5410579576985
0,2,39,1119.8848949141275,1192.1833270170075
0,2,40,1122.8163613591753,1201.7440019137687
0,2,41,1130.3968474982464,1208.2659824331624
0,2,42,1133.5739887308698,1217.7478479451788
0,2,43,1141.2789765070384,1224.122262692361
0,2,44,1144.6141339115343,1233.5497080031137
0,2,45,1152.439776827762,1239.7754057911286
0,2,46,1156.039436098124,1249.105060293697
0,2,47,1163.9739564195413,1255.1913881906326
0,2,48,1167.6234453430347,1264.5016637288377
0,2,49,1175.6523102919164,1270.462983015088
0,2,50,1179.4661768312124,1279.7071391161303
0,2,51,1187.5975871333167,1285.5278063028736
0,2,52,1191.4870908953585,1294.740393370851
0,2,53,1199.6889193895124,1300.461408084386
0,2,54,1203.6254969357024,1309.653978846846
0,2,55,1211.7255742859259,1315.5181707707513
0,2,56,1215.3187386570971,1324.850328602772
0,2,57,1223.3198139508024,1330.8488946101156
0,2,58,1227.0958118468375,1340.1085835837875
0,2,59,1235.1824087540506,1345.991350828907
